date,date,date,date,date,date,OT
9.15783,14.63273,38.84902,2527.63172,3.87494,94.12412,0
9.15539,14.66687,39.102,2523.87539,3.78143,94.1316,0
9.15296,14.70096,39.34822,2520.2477,3.68057,94.13908,0
9.15053,14.735,39.58722,2516.7438,3.57279,94.14655,0
9.14809,14.769,39.81859,2513.35902,3.45852,94.154,0
9.14565,14.80295,40.04195,2510.08889,3.33817,94.16144,0
9.14322,14.83687,40.25696,2506.92913,3.21212,94.16888,0
9.14078,14.87074,40.46326,2503.87565,3.08075,94.1763,0
9.13833,14.90458,40.66056,2500.92452,2.9444,94.18371,0
9.13589,14.93838,40.84856,2498.072,2.80342,94.19112,0
9.13345,14.97215,41.02701,2495.31449,2.65813,94.19851,0
9.131,15.00588,41.19565,2492.64853,2.50884,94.20589,0
9.12855,15.03958,41.35427,2490.07081,2.35584,94.21327,0
9.1261,15.07324,41.50266,2487.57814,2.19943,94.22063,0
9.12365,15.10688,41.64062,2485.16745,2.03986,94.22799,0
9.12119,15.14048,41.76798,2482.83574,1.87741,94.23533,0
9.11873,15.17406,41.88459,2480.58014,1.71233,94.24267,0
9.11627,15.20761,41.9903,2478.39783,1.54485,94.25,0
9.11381,15.24113,42.085,2476.28607,1.37522,94.25732,0
